origin	packages	license	source_kind	source_asset	source_member	source_url	source_size	source_sha256	notice_section	notice_sha256
alpine-base	alpine-release@3.24.1-r0	MIT	aports	aports/alpine-base.tar.gz	aports-0934530484bbcde7498e2c694c710a49616a450e-0934530484bbcde7498e2c694c710a49616a450e-main-alpine-base/main/alpine-base/APKBUILD	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=0934530484bbcde7498e2c694c710a49616a450e&path=main%2Falpine-base	1507	815b70b84ada04848694df0f5661b5f096cf14d8b88cd9fc877de2afe672078c	alpine-base	63f34f1a2b0e778389b4987d97d8903793e3278eb35b75c46af8d8982f17932c
alpine-base	alpine-release@3.24.1-r0	MIT	aports	aports/alpine-base.tar.gz	aports-0934530484bbcde7498e2c694c710a49616a450e-0934530484bbcde7498e2c694c710a49616a450e-main-alpine-base/main/alpine-base/APKBUILD	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=0934530484bbcde7498e2c694c710a49616a450e&path=main%2Falpine-base	1507	815b70b84ada04848694df0f5661b5f096cf14d8b88cd9fc877de2afe672078c	overview	d0ec2f9bcba6ddb0db3917174f63ef88f417c560f070585d9b3e117d52d56408
alpine-base	alpine-release@3.24.1-r0	MIT	authority	license-inputs/MIT.txt	-	https://spdx.org/licenses/MIT.txt	1077	c3b1b78bc8bd3ea13aa4bc9778442d16560270afa235006d816e5e88cef24db4	mit-license	b5cec5edf1781f18d7fefe872437df927688b15a8f4a409d66986c5c033a609d
alpine-baselayout	alpine-baselayout-data@3.7.2-r1,alpine-baselayout@3.7.2-r1	GPL-2.0-only	aports	aports/alpine-baselayout.tar.gz	aports-60a7585bbab2fa0f762504eb617dbca90216e31f-60a7585bbab2fa0f762504eb617dbca90216e31f-main-alpine-baselayout/main/alpine-baselayout/APKBUILD	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=60a7585bbab2fa0f762504eb617dbca90216e31f&path=main%2Falpine-baselayout	8670	aef255516b71e39109860b92eb027a0986d90197427fb93ec91ebcd04bf59763	gpl-2.0	33bd7da2e1769debe0f67ff385ac314994515ab3d62985ba20800479c7f029b6
alpine-baselayout	alpine-baselayout-data@3.7.2-r1,alpine-baselayout@3.7.2-r1	GPL-2.0-only	authority	license-inputs/netbase-6.4-copyright	-	https://salsa.debian.org/md/netbase/-/raw/v6.4/debian/copyright	1234	795b66147ea5ad692991caa7008ece551fb0fa88b9c53656223bd1518dc58ab2	alpine-baselayout	102408ce0d53779d00023f2e40611ddfae2c9d10d9d4386c1a19bac604788528
alpine-baselayout	alpine-baselayout-data@3.7.2-r1,alpine-baselayout@3.7.2-r1	GPL-2.0-only	upstream	distfiles/alpine-baselayout/protocols-6.4	-	https://salsa.debian.org/md/netbase/-/raw/v6.4/etc/protocols	3144	4959498abbadaa1e50894a266f8d0d94500101cfe5b5f09dcad82e9d5bdfab46	alpine-baselayout	102408ce0d53779d00023f2e40611ddfae2c9d10d9d4386c1a19bac604788528
alpine-baselayout	alpine-baselayout-data@3.7.2-r1,alpine-baselayout@3.7.2-r1	GPL-2.0-only	upstream	distfiles/alpine-baselayout/services-6.4	-	https://salsa.debian.org/md/netbase/-/raw/v6.4/etc/services	12813	f6183055fd949f9c53d49ee620f85d0150123ea691d25ed1bba0c641b4ee2f48	alpine-baselayout	102408ce0d53779d00023f2e40611ddfae2c9d10d9d4386c1a19bac604788528
alpine-keys	alpine-keys@2.6-r0	MIT	aports	aports/alpine-keys.tar.gz	aports-b9f23becced4d7b3ccc0fa0f28530243ccd314a0-b9f23becced4d7b3ccc0fa0f28530243ccd314a0-main-alpine-keys/main/alpine-keys/APKBUILD	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=b9f23becced4d7b3ccc0fa0f28530243ccd314a0&path=main%2Falpine-keys	5259	cb352e13b9e481b424763bd36d3afdb81ac308e508abed15eb7175530050bd3f	alpine-keys	fc89f79bd251d3fdf3813826a14a41680e0ee2812402b6085a9678d5999140b4
alpine-keys	alpine-keys@2.6-r0	MIT	authority	license-inputs/MIT.txt	-	https://spdx.org/licenses/MIT.txt	1077	c3b1b78bc8bd3ea13aa4bc9778442d16560270afa235006d816e5e88cef24db4	mit-license	b5cec5edf1781f18d7fefe872437df927688b15a8f4a409d66986c5c033a609d
apk-tools	apk-tools@3.0.6-r0,libapk@3.0.6-r0	GPL-2.0-only	aports	aports/apk-tools.tar.gz	aports-1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912-1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912-main-apk-tools/main/apk-tools/APKBUILD	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912&path=main%2Fapk-tools	4179	5fa1b3168b587ae9a95c3106accfaaa2f738934d66f4bb0b52ddb51f3962af63	apk-tools	63450d9a65f68456aa42eb9ec3eacc0f1a22eb8fc4e05ba3ab6d09fe28a54e64
