origin	aports_commit	aports_path	origin_tree_sha1	entry_count
alpine-base	0934530484bbcde7498e2c694c710a49616a450e	main/alpine-base	65f05b7175559c47520170d7662c9f7ef45a7d89	1
alpine-baselayout	60a7585bbab2fa0f762504eb617dbca90216e31f	main/alpine-baselayout	09b8f57d1c2c06a9360f84c6aa1f7cc1076e9ae6	17
alpine-keys	b9f23becced4d7b3ccc0fa0f28530243ccd314a0	main/alpine-keys	ce77b3572b098dcdd3ce7a81e24aa4454f5448a5	19
apk-tools	1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912	main/apk-tools	a66b8c8ef41a0c3773087f2667ce8a50cab12520	3
busybox	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	main/busybox	873d57bf7455f5634d3ddf2731ab13062986771d	80
ca-certificates	e41cbd2ae991adfe8df298ba8e8e777e90bd0e03	main/ca-certificates	fced8a110cb00ff453951328192429e930d5af66	3
musl	f5640d3a10f664c9119720c60515265d3d6f6d01	main/musl	c4c6d025c282d7cc58169ed50c828cd0320b6b07	11
openssl	4a4352d83ab03720965454a8c7b30b1b6a996c84	main/openssl	472abd9d4851614f9decadffaee2db544227c8a1	3
pax-utils	c61801eeacb3ffcd9c2025b09e402153bb93fb39	main/pax-utils	31c18cc6a9bc15bde7224e984c0173bde716e692	1
zlib	f248b33b5943c7dc69bf691031d7612ab2e8ed93	main/zlib	28e3dd0da65b24537dafe7f0d07786bcb9706460	1
