delivery_unit	component	role	path	size	sha256
hterm-bundle	hterm	license	deps/libapps/hterm/LICENSE	1502	7e78c8564477f2b9ce831d55f8699ab0c57b3ce6ac4bb2c2a30121b9c9c22f5a
hterm-bundle	intl-segmenter	license	deps/libapps/libdot/third_party/intl-segmenter/LICENSE.md	1495	19e92af6ee966d4fea900886d0407b4256c7213f833688c989e0e9e1afad782a
hterm-bundle	libdot	license	deps/libapps/libdot/LICENSE	1502	7e78c8564477f2b9ce831d55f8699ab0c57b3ce6ac4bb2c2a30121b9c9c22f5a
hterm-bundle	wcwidth	license	deps/libapps/libdot/third_party/wcwidth/LICENSE.md	3230	08e287b0e495313900c27411e30fb605d49bd650e88a9c9c0090ee32fff723d6
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_blake2.h	6471	af9cac0037e737ac020f9d2f86c2a4c7256708431897ad2bc461be7e5a96c7a8
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_blake2_impl.h	4218	de903112fb12ad5486edf31f58d4c9d3bca658fb758b7de272c6582a43de55ed
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_blake2s_ref.c	9685	bb9fa10b5b2efc2d2305307bd33fdd6543fa9a80c9b1cdda503c692701ba7ad6
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_blake2sp_ref.c	9332	8490586b0e6db62409ae836541e32a0d060f44d587d3f0417c68de953d59b80b
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_entry.c	53099	f36c9eb8befe75b2c09bdedb84a74e74a82a67217d2801fcbcdd7aac61200f4b
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_getdate.c	30619	59d018cb1272030b6bab161a07780666e1acf4b3c1fe2426ffa4b40f5c599150
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_ppmd7.c	28293	d6b87d08e12712a8cb412cfa7cdd428afa114c01c06362e23149c26071481f7f
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_ppmd7_private.h	3084	c31e6af32c5a975988df4b9bc8c8256811dabca50c9907e7c374920b09c59f63
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_ppmd8.c	31792	436e1247891d4dd911dda742b7ef5a09416ab87d4fc66b14a2fca0c698e3666d
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_ppmd8_private.h	3913	1f5b6d9f3aaca9e18f6858f0f6b57568b2d68127f234266f108dd3ac0f42ab24
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_rb.c	21341	981e2e6c42bb75e4ef6b9a677d3826a251cae4a2cbd3217397ae3c0dfea9789e
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_rb.h	4535	a04d83514a5ecdbfe841d18224cf77ba3b249ccba91ec57d9d1d18ec36a59c2d
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_read_support_filter_compress.c	13766	4a8420c7c8e0b24296486cabcd7e19827bc629cd78e73605c372168cadaa52c0
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_read_support_format_7zip.c	99452	46f703b7c0310553ceef8c63eb7182b553800ab1bd5cf0086687077bafe9ce70
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_write_add_filter_compress.c	12920	ca4925631cd12b5aa4a753c707592c689f2881cfaa1ee5228c6a32571283d93a
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/archive_xxhash.h	1907	2937aaefe1fa56b6de0dd0f6cfa521ab54fa55edf74eaa10c0fb48e295fc47f0
libarchive	libarchive	inline-notice	deps/libarchive/libarchive/xxhash.c	16146	550c7d62a233717a7d417a5c2118c98922c36d1de6dbdedc27518edca29772b4
libarchive	libarchive	license	deps/libarchive/COPYING	3116	e1e3d4ba9d0b0ccba333b5f5539f7c6c9a3ef3d57a96cd165d2c45eaa1cd026d
linux-kernel	linux	license	deps/linux/COPYING	496	fb5a425bd3b3cd6071a3a9aff9909a859e7c1158d54d32e07658398cd67eb6a0
