path	start_line	end_line	size	sha256
deps/libapps/libdot/doc/ChangeLog.md	134	136	122	2bde9695347048689e6643610380ffb4ffb4ef8c6cc2ba03cba508a3d1ea6943
deps/libapps/libdot/js/lib_colors.js	322	323	107	66de0362d9529261e4d5704201576c6aef4c9bbac846951338c99e8cbc67acf6
deps/libapps/libdot/js/lib_colors.js	629	640	378	2dac7cd63571edce5d186d43028c34344b2fe705cf8390670653b3ddfe08db39
deps/libapps/libdot/js/lib_colors.js	755	757	65	28cc89bae71a6ae01031c867ffa25fce9afcb0f7d88816eccfcd5f8638b8433c
deps/libapps/libdot/third_party/wcwidth/lib_wc.js	117	118	112	3a0cc42a7e5da5c7bef2a957bcf0799cdc85125f240674fba0ba3af818a328cb
deps/libapps/libdot/third_party/wcwidth/lib_wc.js	235	236	121	ad2d388e5e456e35e9054edf14cc16d8c8dfd44faff0b09a768edd4917aec6e0
deps/libapps/libdot/third_party/wcwidth/lib_wc.js	326	327	123	09dc2532a172f51f1f5789674bfd283897f0a5094fea522837913a2a17258241
deps/libapps/libdot/third_party/wcwidth/lib_wc.js	7	77	3595	ed5199b2dcf645f89411dceb0f99472156dad00b77f72bc9f61045ca5811cdff
deps/libapps/libdot/third_party/wcwidth/ranges.py	114	130	535	440adbe3cb48dd3b1ce693941af5d945afadfdcf29b8d07c509695bfdb013ee8
deps/libapps/libdot/third_party/wcwidth/ranges.py	15	17	145	8bffeec5c626a86152740209a5690a68d0e27dfe1da8c1207403044a6e2ddfac
deps/libapps/libdot/third_party/wcwidth/ranges.py	28	32	157	9e4e2ba3d77bc96262d8ca1dead2504346fc48ca5a77cbf79eb98eedbe188a8d
deps/libapps/libdot/third_party/wcwidth/ranges.py	54	60	270	542e254f2322765448981dde577c448cc8e10464ca93d02aa62841652756b041
deps/libarchive/libarchive/archive_entry.c	1618	1650	1706	490b83eb538a47d3c260b815af0ba24229c731f98a19c1c6053cd79fcf718c51
deps/libarchive/libarchive/archive_ppmd8.c	1118	1122	213	23ddce90c763d94a1e3727859f2f66e8175be25a8037cdacf69c8919aa924930
deps/libarchive/libarchive/archive_random.c	103	131	1347	fdde36c0ade03d890293e230d486a376d16eeda685633f94567cf20380688d9f
deps/libarchive/libarchive/archive_read_support_format_7zip.c	3605	3611	126	9dcfa6e7a20c60b55a1f148bb40416d960e88a2deef6f42b8464e4da0d48fbf4
deps/libarchive/libarchive/archive_read_support_format_7zip.c	3703	3709	126	4af833bba693fb1a5f3bf5c6f00e6bfebb0461a203814ca1fe41b7f5815cb1f0
deps/libarchive/libarchive/archive_read_support_format_mtree.c	1413	1413	57	4651bafa8c9c1a43280dc495a806937ed8c14233bb6f7c6c5e023dc6c76e99a6
deps/libarchive/libarchive/archive_string.c	2797	2800	146	5cfb425aa9001a9f6440bde55b2de8db601f643e5697ddbb3de5864b80e5652d
deps/libarchive/libarchive/archive_string.c	3043	3046	116	5543083c75e6646d8506a82deda6c909b949ca48bcfa6c38c5b0671db9b03349
deps/libarchive/libarchive/archive_windows.c	789	829	1714	1bf02fb89ca433cf7c4eae323af30d55dbb871aa80e91c3880de05680fbd37dd
third_party/apple-host/material-design-icons/3d4a32b327272c458e12586437c3ca0696b28a69/README.md	37	40	392	6170f9ff1747fa2a4049af142cbeb9a738aab4a6d5c3b5b0897a601698ee6af7
