target	release_scope	input_scope	component	delivery_kind	delivery_name
iSH	product	platform	apple-sdk	platform-link	System/Library/Frameworks/CoreLocation.framework
iSH	product	platform	apple-sdk	platform-link	System/Library/Frameworks/SystemConfiguration.framework
iSH	product	platform	apple-sdk	platform-link	usr/lib/libbz2.tbd
iSH	product	platform	apple-sdk	platform-link	usr/lib/libiconv.tbd
iSH	product	platform	apple-sdk	platform-link	usr/lib/libresolv.tbd
iSH	product	vendored	hterm-bundle	generated-resource	deps/libapps/hterm/dist/js/hterm_all.js
iSH	product	vendored	libarchive	static-library	libarchive.a
iSH+Linux	undecided	platform	apple-sdk	platform-link	System/Library/Frameworks/CoreLocation.framework
iSH+Linux	undecided	platform	apple-sdk	platform-link	System/Library/Frameworks/SystemConfiguration.framework
iSH+Linux	undecided	platform	apple-sdk	platform-link	usr/lib/libbz2.tbd
iSH+Linux	undecided	platform	apple-sdk	platform-link	usr/lib/libiconv.tbd
iSH+Linux	undecided	platform	apple-sdk	platform-link	usr/lib/libresolv.tbd
iSH+Linux	undecided	vendored	hterm-bundle	generated-resource	deps/libapps/hterm/dist/js/hterm_all.js
iSH+Linux	undecided	vendored	libarchive	static-library	libarchive.a
iSH+Linux	undecided	vendored	linux-kernel	static-library	liblinux.a
iSHFileProvider	embedded	boundary	project	no-vendored	-
iSHWatch	product	platform	apple-sdk	platform-link	-ldl
iSHWatch	product	platform	apple-sdk	platform-link	-liconv
iSHWatch	product	platform	apple-sdk	platform-link	-lm
iSHWatch	product	platform	apple-sdk	platform-link	-lresolv
iSHWatch	product	platform	apple-sdk	platform-link	-lsqlite3
iSHWatch	product	vendored	libarchive	static-library	libarchive-watchOS.a
